# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.5000,4.0400,0.8000,0.8000
-3.5000,3.9400,0.7906,0.7906
-3.5000,3.8400,0.7649,0.7649
-3.5000,3.7400,0.7517,0.7517
-3.4500,3.6400,0.7500,0.7500
-3.4500,3.5400,0.7500,0.7500
-3.4500,3.4400,0.7500,0.7500
-3.4500,3.3400,0.7517,0.7517
-3.4500,3.2400,0.7500,0.7500
-3.4500,3.1400,0.7500,0.7500
-3.4500,3.0400,0.7500,0.7500
-3.4500,2.9400,0.7500,0.7500
-3.4500,2.8400,0.7280,0.7280
-3.4000,2.7400,0.7500,0.7500
-3.4000,2.6400,0.7500,0.7500
-3.4000,2.5400,0.7500,0.7500
-3.4000,2.4400,0.7500,0.7500
-3.4000,2.3400,0.7500,0.7500
-3.4000,2.2400,0.7500,0.7500
-3.4000,2.1400,0.7280,0.7280
-3.3500,2.0400,0.7500,0.7500
-3.3500,1.9400,0.7500,0.7500
-3.3500,1.8400,0.7433,0.7433
-3.3000,1.7400,0.7433,0.7433
-3.3000,1.6400,0.7500,0.7500
-3.3000,1.5400,0.7280,0.7280
-3.2500,1.4400,0.7159,0.7159
-3.2500,1.3400,0.7433,0.7433
-3.2500,1.2400,0.7159,0.7159
-3.2000,1.1400,0.7517,0.7517
-3.2000,1.0400,0.7280,0.7280
-3.1500,0.9400,0.7566,0.7566
-3.1500,0.8400,0.7500,0.7500
-3.1000,0.7400,0.7762,0.7762
-3.1000,0.6400,0.7566,0.7566
-3.0000,0.5900,0.8485,0.8485
-2.9000,0.4900,0.8515,0.8515
-2.8000,0.3900,0.8746,0.8746
-2.8000,0.2900,0.8276,0.8276
-2.7500,0.1900,0.8382,0.8382
-2.7000,0.0900,0.8631,0.8631
-2.6000,-0.0100,0.9513,0.9513
-2.5000,-0.0600,1.0500,1.0500
-2.4000,-0.1600,1.1500,1.1500
-2.3000,-0.2100,1.2093,1.2093
-2.2000,-0.2600,1.2510,1.2510
-2.1000,-0.3100,1.3000,1.3000
-2.0000,-0.3100,1.3010,1.3010
-1.9000,-0.3600,1.3500,1.3500
-1.8000,-0.3600,1.3500,1.3500
-1.7000,-0.4100,1.4000,1.4000
-1.6000,-0.4100,1.4000,1.4000
-1.5000,-0.4100,1.3946,1.3946
-1.4000,-0.4100,1.3730,1.3730
-1.3000,-0.3600,1.3153,1.3153
-1.2000,-0.3600,1.2981,1.2981
-1.1000,-0.3600,1.2748,1.2748
-1.0000,-0.3600,1.2590,1.2590
-0.9000,-0.3600,1.2369,1.2369
-0.8000,-0.3100,1.1673,1.1673
-0.7000,-0.3100,1.1543,1.1543
-0.6000,-0.3100,1.1500,1.1500
-0.5000,-0.3100,1.1500,1.1500
-0.4000,-0.3100,1.1500,1.1500
-0.3000,-0.2600,1.1000,1.1000
-0.2000,-0.2600,1.1000,1.1000
