# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, -3.7377134, 3.9456497, -2.9610814, 0.0980614, 5.2683654, -0.5234109
0.9905042, -3.5057371, 2.9829793, -2.8416884, 0.1432608, 5.1690224, -0.9174699
1.9810084, -3.1400291, 2.0637411, -2.6762284, 0.1913610, 4.9901179, -0.9493139
2.9715126, -2.6116867, 1.2284746, -2.4761922, 0.2101516, 4.7979869, -0.5230800
3.9620168, -1.9258078, 0.5180973, -2.2747024, 0.1925095, 4.6887581, -0.1346499
4.9525209, -1.1182204, -0.0491312, -2.0948951, 0.1715864, 4.6602264, -0.0084639
5.9430251, -0.2248084, -0.4723800, -1.9341879, 0.1555850, 4.6584271, -0.1166615
6.9335293, 0.7261845, -0.7526735, -1.7794259, 0.1621473, 4.6335554, -0.5317898
7.9240335, 1.7201979, -0.8770632, -1.6102814, 0.1686255, 4.5184461, -1.2496108
8.9145377, 2.7055258, -0.8279176, -1.4226941, 0.2124851, 4.2356659, -2.0785003
9.9050419, 3.6641768, -0.5864692, -1.2172828, 0.3440432, 3.7179751, -2.6304084
10.8955461, 4.4155950, 0.0178867, -0.4345823, 1.0162591, 2.9347024, -1.5038837
11.8860503, 4.2732431, 0.8902542, 0.8353339, 1.0144207, 2.3734515, 1.8777736
12.8765545, 3.3729139, 1.3511523, 1.2147985, 0.0982188, 3.0582932, 1.3936337
13.8670586, 2.4365437, 1.6723894, 1.2436457, -0.0266141, 3.4805111, 1.1851929
14.8575628, 1.4990055, 2.0111061, 1.1969125, -0.0746725, 3.8028718, -0.3709622
15.8480670, 0.5697165, 2.4193187, 1.1262181, -0.0296963, 3.7049906, -2.4270957
16.8385712, -0.2822354, 2.8995572, 0.7377677, -2.0492334, 2.9864457, -1.9439955
17.8290754, 0.1033838, 3.5307008, -1.2703517, -0.3452642, 2.2511745, 2.2222150
18.8195796, 1.0876656, 3.8200775, -1.2302830, 0.0890145, 3.0773387, 1.6398881
19.8100838, 2.0315780, 4.1680236, -1.2243189, -0.0079288, 3.5663210, 1.6432509
20.8005880, 2.9646818, 4.5193523, -1.1769604, 0.1121131, 3.9967411, 0.8568987
21.7910922, 3.8452510, 4.9572986, -1.0240265, 0.2238030, 4.2037439, 0.6820061
22.7815963, 4.6184535, 5.5724357, -0.7653902, 0.2813497, 4.3614817, 0.7061951
23.7721005, 5.2112935, 6.3340693, -0.5837665, 0.1331664, 4.5190155, 0.6249552
24.7626047, 5.7109337, 7.1918312, -0.4795762, 0.0843368, 4.6539813, 0.5108272
25.7531089, 6.1350703, 8.0918691, -0.4032572, 0.0717852, 4.7614594, 0.3721949
26.7436131, 6.4943283, 9.0245831, -0.3318933, 0.0728010, 4.8382659, 0.1952511
27.7341173, 6.7837115, 9.9801275, -0.2543358, 0.0842823, 4.8780745, -0.1150527
28.7246215, 6.9894496, 10.9492695, -0.1600014, 0.1088219, 4.8546566, -0.6556677
29.7151257, 7.0870647, 11.9439786, -0.0259524, 0.1668389, 4.7189837, -1.5518358
30.7056299, 7.0138218, 12.9391596, 0.1916340, 0.2828584, 4.3811651, -1.9766119
31.6961340, 6.6605184, 13.8646249, 0.5598965, 0.4162966, 3.9088263, -1.5246729
32.6866382, 5.9709215, 14.5442681, 1.0509773, 0.5279538, 3.5012188, -2.5032531
33.6771424, 5.0546173, 14.7195542, 1.7998580, 0.8275965, 2.7017712, 0.8193554
34.6676466, 4.2299328, 14.2101934, 2.3845007, 0.4397838, 2.9870918, 0.9140801
35.6581508, 3.7002383, 13.3768252, 2.7308265, 0.2389711, 3.2762048, 1.1101612
36.6486550, 3.3907297, 12.4252154, 2.9029096, 0.1129243, 3.5962142, 1.2361157
37.6391592, 3.1946468, 11.4411881, 2.9735531, 0.0293292, 3.9219271, 1.3238152
38.6296634, 3.0281970, 10.4631837, 2.9572190, -0.0638268, 4.2431122, -0.0311730
39.6201676, 2.7968078, 9.4867020, 2.8433289, -0.1709814, 4.2358290, -2.4171617
40.6106717, 2.3919263, 8.5707415, 2.5621454, -0.4534017, 3.6268209, -3.3897483
41.6011759, 1.6241942, 7.9604003, 1.8658551, -0.8825804, 2.5374613, 0.5232386
42.5916801, 0.7712331, 8.1851617, 0.9515781, -1.2379461, 2.7340903, 0.4601309
43.5821843, 0.2192842, 9.0197144, 0.3172774, -0.4851857, 2.8959926, 1.0172547
44.5726885, 0.0736940, 9.9882974, 0.0298077, -0.1751315, 3.2252075, 1.1711325
45.5631927, 0.1083731, 10.9783279, -0.0797765, -0.0550970, 3.5667894, 1.2878417
46.5536969, 0.2015929, 11.9798038, -0.0917425, 0.0299296, 3.9080956, 1.1044151
47.5442011, 0.2631823, 12.9729653, -0.0163625, 0.1213273, 4.1786442, -0.2231225
48.5347053, 0.2046553, 13.9565383, 0.1555039, 0.2469464, 4.1254163, -1.8549712
49.5252094, -0.0899570, 14.9066822, 0.4747109, 0.4415120, 3.6529914, -2.8692232
50.5157136, -0.7208835, 15.6474890, 0.9495774, 0.8091934, 2.7677411, 0.5049851
51.5062178, -1.6410155, 15.9273327, 1.6903254, 0.9302200, 2.9429187, 0.1364282
52.4967220, -2.5320183, 15.5258765, 2.2399701, 0.5078984, 2.9884839, 0.9461957
53.4872262, -3.1274708, 14.7464730, 2.6969533, 0.3069538, 3.2871656, 1.0651685
54.4777304, -3.4512199, 13.8158274, 2.8915663, 0.1368818, 3.5938232, 1.1175927
55.4682346, -3.6429325, 12.8375260, 2.9947416, 0.0761643, 3.8896691, 1.1610299
56.4587388, -3.7587851, 11.8513507, 3.0475173, 0.0362280, 4.1748696, 1.1372438
57.4492430, -3.8367145, 10.8637925, 3.0756488, 0.0208946, 4.4364880, 1.0340081
58.4397471, -3.8929131, 9.8720742, 3.0933977, 0.0150628, 4.6616311, 0.9403713
59.4302513, -3.9337948, 8.8802484, 3.1075053, 0.0150492, 4.8573334, 0.8189290
60.4207555, -3.9596526, 7.8898001, 3.1243120, 0.0201444, 5.0215528, 0.6663438
61.4112597, -3.9655216, 6.9006825, -3.1346059, 0.0300136, 5.1513130, 0.4755921
62.4017639, -3.9416746, 5.9123518, -3.0978908, 0.0452707, 5.2419631, 0.2373986
63.3922681, -3.8729784, 4.9258297, -3.0427182, 0.0671112, 5.2866309, -0.0973201
64.3827723, -3.7377134, 3.9456497, -2.9610814, 0.0980614, 5.2683654, -0.5234109
