# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.9200,-13.8500,1.4000,1.4000
-1.9200,-13.9000,1.4000,1.4000
-1.9200,-13.9500,1.4000,1.4000
-1.9200,-14.0000,1.4000,1.4000
-1.9200,-14.0500,1.4000,1.4000
-1.9200,-14.1000,1.4000,1.4000
-1.9200,-14.1500,1.4000,1.4000
-1.9200,-14.2000,1.4000,1.4000
-1.9200,-14.2500,1.4000,1.4000
-1.9200,-14.3000,1.4000,1.4000
-1.9200,-14.3500,1.4000,1.4000
-1.9200,-14.4000,1.4000,1.4000
-1.9200,-14.4500,1.4000,1.4000
-1.9200,-14.5000,1.4000,1.4000
-1.8700,-14.5500,1.4500,1.4500
-1.8700,-14.6000,1.4500,1.4500
-1.8700,-14.6500,1.4500,1.4500
-1.8700,-14.7000,1.4500,1.4500
-1.8700,-14.7500,1.4500,1.4500
-1.8700,-14.8000,1.4500,1.4500
-1.8700,-14.8500,1.4500,1.4500
-1.8200,-14.9000,1.4221,1.4221
-1.7700,-14.9500,1.3829,1.3829
-1.7200,-14.9500,1.3946,1.3946
-1.6700,-15.0000,1.3500,1.3500
-1.6200,-15.0500,1.3000,1.3000
-1.5700,-15.1000,1.2500,1.2500
-1.5200,-15.1000,1.2500,1.2500
-1.4700,-15.1000,1.2500,1.2500
-1.4200,-15.1500,1.2000,1.2000
-1.3700,-15.1500,1.2000,1.2000
-1.3200,-15.1500,1.2000,1.2000
-1.2700,-15.2000,1.1500,1.1500
-1.2200,-15.2000,1.1500,1.1500
-1.1700,-15.2000,1.1500,1.1500
-1.1200,-15.2500,1.1000,1.1000
-1.0700,-15.2500,1.1000,1.1000
-1.0200,-15.2500,1.1000,1.1000
-0.9700,-15.2500,1.1000,1.1000
-0.9200,-15.2500,1.1000,1.1000
-0.8700,-15.2500,1.1000,1.1000
-0.8200,-15.2500,1.1000,1.1000
-0.7700,-15.2500,1.1000,1.1000
-0.7200,-15.2500,1.1000,1.1000
-0.6700,-15.2500,1.1000,1.1000
-0.6200,-15.2500,1.1000,1.1000
-0.5700,-15.2500,1.1000,1.1000
-0.5200,-15.2500,1.1000,1.1000
-0.4700,-15.2500,1.1000,1.1000
-0.4200,-15.2500,1.1000,1.1000
-0.3700,-15.2500,1.1000,1.1000
-0.3200,-15.2500,1.1000,1.1000
-0.2700,-15.2500,1.1000,1.1000
-0.2200,-15.2500,1.1000,1.1000
-0.1700,-15.2500,1.1000,1.1000
-0.1200,-15.2500,1.1000,1.1000
-0.0700,-15.2500,1.1000,1.1000
-0.0200,-15.2500,1.1000,1.1000
0.0300,-15.2500,1.1000,1.1000
0.0800,-15.2500,1.1000,1.1000
0.1300,-15.2500,1.1000,1.1000
0.1800,-15.2500,1.1000,1.1000
0.2300,-15.2500,1.1000,1.1000
0.2800,-15.2000,1.1500,1.1500
0.3300,-15.1500,1.2000,1.2000
0.3800,-15.1500,1.2000,1.2000
0.4300,-15.1000,1.2083,1.2083
0.4800,-15.0500,1.1853,1.1853
0.5300,-15.0000,1.1543,1.1543
0.5800,-14.9500,1.1102,1.1102
0.6300,-14.9000,1.0689,1.0689
0.6800,-14.8500,1.0308,1.0308
0.7300,-14.8000,0.9962,0.9962
0.7300,-14.7500,1.0050,1.0050
0.7800,-14.7000,0.9552,0.9552
0.7800,-14.6500,0.9513,0.9513
0.7800,-14.6000,0.9500,0.9500
0.8300,-14.5500,0.9000,0.9000
0.8300,-14.5000,0.9014,0.9014
0.8300,-14.4500,0.9055,0.9055
0.8800,-14.4000,0.8631,0.8631
0.8800,-14.3500,0.8732,0.8732
0.8800,-14.3000,0.8860,0.8860
0.8800,-14.2500,0.9000,0.9000
0.8800,-14.2000,0.9014,0.9014
0.8800,-14.1500,0.9055,0.9055
0.9300,-14.1000,0.8631,0.8631
0.9300,-14.0500,0.8732,0.8732
0.9300,-14.0000,0.8860,0.8860
0.9800,-13.9500,0.8544,0.8544
0.9800,-13.9000,0.8732,0.8732
1.0300,-13.8500,0.8382,0.8382
1.0300,-13.8000,0.8544,0.8544
1.0300,-13.7500,0.8732,0.8732
1.0800,-13.7000,0.8500,0.8500
1.1300,-13.6500,0.8276,0.8276
1.1300,-13.6000,0.8485,0.8485
1.1800,-13.5500,0.8276,0.8276
1.2300,-13.5000,0.8062,0.8062
1.2300,-13.4500,0.8139,0.8139
1.2800,-13.4000,0.8201,0.8201
1.3300,-13.3500,0.8062,0.8062
1.3800,-13.3000,0.7906,0.7906
1.4300,-13.2500,0.7810,0.7810
1.4800,-13.2000,0.7778,0.7778
1.4800,-13.1500,0.7778,0.7778
1.5300,-13.1000,0.7810,0.7810
1.5800,-13.0500,0.7906,0.7906
1.6300,-13.0000,0.7810,0.7810
1.6800,-12.9500,0.7778,0.7778
1.6800,-12.9000,0.7810,0.7810
1.7300,-12.8500,0.7826,0.7826
1.7800,-12.8000,0.7632,0.7632
1.7800,-12.7500,0.7778,0.7778
1.8300,-12.7000,0.7778,0.7778
1.8800,-12.6500,0.7778,0.7778
1.9300,-12.6000,0.7632,0.7632
1.9300,-12.5500,0.7632,0.7632
1.9800,-12.5000,0.7810,0.7810
2.0300,-12.4500,0.7632,0.7632
2.0300,-12.4000,0.7632,0.7632
2.0800,-12.3500,0.7810,0.7810
2.1300,-12.3000,0.7778,0.7778
2.1300,-12.2500,0.7632,0.7632
2.1800,-12.2000,0.7826,0.7826
2.1800,-12.1500,0.7616,0.7616
2.2300,-12.1000,0.7826,0.7826
2.2300,-12.0500,0.7616,0.7616
2.2800,-12.0000,0.7826,0.7826
2.2800,-11.9500,0.7616,0.7616
2.3300,-11.9000,0.7906,0.7906
2.3300,-11.8500,0.7762,0.7762
2.3300,-11.8000,0.7616,0.7616
2.3300,-11.7500,0.7433,0.7433
2.3800,-11.7000,0.7762,0.7762
2.3800,-11.6500,0.7649,0.7649
2.3800,-11.6000,0.7566,0.7566
