x,y,yaw,velocities
-1.92,-13.85,-1.570796327,3.9579801
-1.92,-13.9,-1.570796327,3.939844261
-1.92,-13.95,-1.570796327,3.921708423
-1.92,-14,-1.570796327,3.903572584
-1.92,-14.05,-1.570796327,3.885436746
-1.92,-14.1,-1.570796327,3.867300907
-1.92,-14.15,-1.570796327,3.849165068
-1.92,-14.2,-1.570796327,3.83102923
-1.92,-14.25,-1.570796327,3.812893391
-1.92,-14.3,-1.570796327,3.794757552
-1.92,-14.35,-1.570796327,3.776621714
-1.92,-14.4,-1.570796327,3.758485875
-1.92,-14.45,-1.570796327,3.740350037
-1.92,-14.5,-0.785398163,3.722214198
-1.87,-14.55,-1.570796327,3.704078359
-1.87,-14.6,-1.570796327,3.685942521
-1.87,-14.65,-1.570796327,3.667806682
-1.87,-14.7,-1.570796327,3.649670844
-1.87,-14.75,-1.570796327,3.631535005
-1.87,-14.8,-1.570796327,3.613399166
-1.87,-14.85,-0.785398163,3.595263328
-1.82,-14.9,-0.785398163,3.577127489
-1.77,-14.95,0,3.55899165
-1.72,-14.95,-0.785398163,3.547566964
-1.67,-15,-0.785398163,3.536152489
-1.62,-15.05,-0.785398163,3.524738013
-1.57,-15.1,0,3.513323537
-1.52,-15.1,0,3.501909061
-1.47,-15.1,-0.785398163,3.490494586
-1.42,-15.15,0,3.47908011
-1.37,-15.15,0,3.467665634
-1.32,-15.15,-0.785398163,3.456251159
-1.27,-15.2,0,3.444836683
-1.22,-15.2,0,3.433422207
-1.17,-15.2,-0.785398163,3.422007731
-1.12,-15.25,0,3.410593256
-1.07,-15.25,0,3.39917878
-1.02,-15.25,0,3.387764304
-0.97,-15.25,0,3.376349829
-0.92,-15.25,0,3.364935353
-0.87,-15.25,0,3.353520877
-0.82,-15.25,0,3.342106401
-0.77,-15.25,0,3.330691926
-0.72,-15.25,0,3.31927745
-0.67,-15.25,0,3.309090693
-0.62,-15.25,0,3.302632762
-0.57,-15.25,0,3.296174832
-0.52,-15.25,0,3.289716901
-0.47,-15.25,0,3.28325897
-0.42,-15.25,0,3.276801039
-0.37,-15.25,0,3.270343108
-0.32,-15.25,0,3.263885178
-0.27,-15.25,0,3.257427247
-0.22,-15.25,0,3.250969316
-0.17,-15.25,0,3.244511385
-0.12,-15.25,0,3.238053454
-0.07,-15.25,0,3.231595524
-0.02,-15.25,0,3.225137593
0.03,-15.25,0,3.218679662
0.08,-15.25,0,3.212221731
0.13,-15.25,0,3.2057638
0.18,-15.25,0,3.19930587
0.23,-15.25,0.785398163,3.192847939
0.28,-15.2,0.785398163,3.186390008
0.33,-15.15,0,3.179932077
0.38,-15.15,0.785398163,3.173474147
0.43,-15.1,0.785398163,3.175559666
0.48,-15.05,0.785398163,3.1838095
0.53,-15,0.785398163,3.192059334
0.58,-14.95,0.785398163,3.200309168
0.63,-14.9,0.785398163,3.208559002
0.68,-14.85,0.785398163,3.216808836
0.73,-14.8,1.570796327,3.22505867
0.73,-14.75,0.785398163,3.233308505
0.78,-14.7,1.570796327,3.241558339
0.78,-14.65,1.570796327,3.249808173
0.78,-14.6,0.785398163,3.258058007
0.83,-14.55,1.570796327,3.266307841
0.83,-14.5,1.570796327,3.274557675
0.83,-14.45,0.785398163,3.28280751
0.88,-14.4,1.570796327,3.291057344
0.88,-14.35,1.570796327,3.299307178
0.88,-14.3,1.570796327,3.307557012
0.88,-14.25,1.570796327,3.315806846
0.88,-14.2,1.570796327,3.32405668
0.88,-14.15,0.785398163,3.332306515
0.93,-14.1,1.570796327,3.340556349
0.93,-14.05,1.570796327,3.348806183
0.93,-14,0.785398163,3.357980326
0.98,-13.95,1.570796327,3.367334871
0.98,-13.9,0.785398163,3.376689416
1.03,-13.85,1.570796327,3.386043961
1.03,-13.8,1.570796327,3.395398506
1.03,-13.75,0.785398163,3.404753051
1.08,-13.7,0.785398163,3.414107596
1.13,-13.65,1.570796327,3.423462141
1.13,-13.6,0.785398163,3.432816686
1.18,-13.55,0.785398163,3.442171231
1.23,-13.5,1.570796327,3.451525776
1.23,-13.45,0.785398163,3.460880321
1.28,-13.4,0.785398163,3.470234866
1.33,-13.35,0.785398163,3.479589411
1.38,-13.3,0.785398163,3.488943956
1.43,-13.25,0.785398163,3.498298501
1.48,-13.2,1.570796327,3.507653046
1.48,-13.15,0.785398163,3.517007591
1.53,-13.1,0.785398163,3.526362136
1.58,-13.05,0.785398163,3.535716681
1.63,-13,0.785398163,3.545071226
1.68,-12.95,1.570796327,3.554425771
1.68,-12.9,0.785398163,3.565450894
1.73,-12.85,0.785398163,3.576955346
1.78,-12.8,1.570796327,3.588459799
1.78,-12.75,0.785398163,3.599964252
1.83,-12.7,0.785398163,3.611468704
1.88,-12.65,0.785398163,3.622973157
1.93,-12.6,1.570796327,3.63447761
1.93,-12.55,0.785398163,3.645982062
1.98,-12.5,0.785398163,3.657486515
2.03,-12.45,1.570796327,3.668990968
2.03,-12.4,0.785398163,3.68049542
2.08,-12.35,0.785398163,3.691999873
2.13,-12.3,1.570796327,3.703504326
2.13,-12.25,0.785398163,3.715008778
2.18,-12.2,1.570796327,3.726513231
2.18,-12.15,0.785398163,3.738017684
2.23,-12.1,1.570796327,3.749522136
2.23,-12.05,0.785398163,3.761026589
2.28,-12,1.570796327,3.772531042
2.28,-11.95,0.785398163,3.784035494
2.33,-11.9,1.570796327,3.795539947
2.33,-11.85,1.570796327,3.8070444
2.33,-11.8,1.570796327,3.819859296
2.33,-11.75,0.785398163,3.832999636
2.38,-11.7,1.570796327,3.846139976
2.38,-11.65,1.570796327,3.859280316
2.38,-11.6,1.570796327,3.872420656
2.38,-11.55,1.570796327,3.885560996
2.38,-11.5,1.570796327,3.898701336
2.38,-11.45,1.570796327,3.911841676
2.38,-11.4,1.570796327,3.924982017
2.38,-11.35,0.785398163,3.938122357
2.43,-11.3,1.570796327,3.951262697
2.43,-11.25,2.35619449,3.964403037
2.38,-11.2,1.570796327,3.977543377
2.38,-11.15,2.35619449,3.990683717
2.33,-11.1,1.570796327,4.003824057
2.33,-11.05,2.35619449,4.016964397
2.28,-11,2.35619449,4.030104737
2.23,-10.95,1.570796327,4.043245078
2.23,-10.9,2.35619449,4.056385418
2.18,-10.85,2.35619449,4.069525758
2.13,-10.8,2.35619449,4.082666098
2.08,-10.75,2.35619449,4.095806438
2.03,-10.7,1.570796327,4.107690301
2.03,-10.65,2.35619449,4.11906081
1.98,-10.6,3.141592654,4.13043132
1.93,-10.6,2.35619449,4.141801829
