x,y,yaw,velocities
-1.92,-13.85,-1.5707963267949,3
-1.92,-13.9,-1.5707963267949,3
-1.92,-13.95,-1.5707963267949,3
-1.92,-14,-1.5707963267949,3
-1.92,-14.05,-1.5707963267949,3
-1.92,-14.1,-1.5707963267949,3
-1.92,-14.15,-1.5707963267949,3
-1.92,-14.2,-1.5707963267949,3
-1.92,-14.25,-1.5707963267949,3
-1.92,-14.3,-1.5707963267949,3
-1.92,-14.35,-1.5707963267949,3
-1.92,-14.4,-1.5707963267949,3
-1.92,-14.45,-1.5707963267949,3
-1.92,-14.5,-0.785398163397457,3
-1.87,-14.55,-1.5707963267949,3
-1.87,-14.6,-1.5707963267949,3
-1.87,-14.65,-1.5707963267949,3
-1.87,-14.7,-1.5707963267949,3
-1.87,-14.75,-1.5707963267949,3
-1.87,-14.8,-1.5707963267949,3
-1.87,-14.85,-0.785398163397455,3
-1.82,-14.9,-0.785398163397437,3
-1.77,-14.95,0,3
-1.72,-14.95,-0.785398163397455,3
-1.67,-15,-0.785398163397457,3
-1.62,-15.05,-0.785398163397437,3
-1.57,-15.1,0,3
-1.52,-15.1,0,3
-1.47,-15.1,-0.785398163397455,3
-1.42,-15.15,0,3
-1.37,-15.15,0,3
-1.32,-15.15,-0.785398163397437,3
-1.27,-15.2,0,3
-1.22,-15.2,0,3
-1.17,-15.2,-0.785398163397457,3
-1.12,-15.25,0,3
-1.07,-15.25,0,3
-1.02,-15.25,0,3
-0.97,-15.25,0,3
-0.92,-15.25,0,3
-0.87,-15.25,0,3
-0.82,-15.25,0,3
-0.77,-15.25,0,3
-0.72,-15.25,0,3
-0.67,-15.25,0,3
-0.62,-15.25,0,3
-0.57,-15.25,0,3
-0.52,-15.25,0,3
-0.47,-15.25,0,3
-0.42,-15.25,0,3
-0.37,-15.25,0,3
-0.32,-15.25,0,3
-0.27,-15.25,0,3
-0.22,-15.25,0,3
-0.17,-15.25,0,3
-0.12,-15.25,0,3
-0.07,-15.25,0,3
-0.02,-15.25,0,3
0.03,-15.25,0,3
0.08,-15.25,0,3
0.13,-15.25,0,3
0.18,-15.25,0,3
0.23,-15.25,0.785398163397455,3
0.28,-15.2,0.785398163397438,3
0.33,-15.15,0,3
0.38,-15.15,0.785398163397456,3
0.43,-15.1,0.785398163397438,3
0.48,-15.05,0.785398163397455,3
0.53,-15,0.785398163397456,3
0.58,-14.95,0.785398163397437,3
0.63,-14.9,0.785398163397455,3
0.68,-14.85,0.785398163397438,3
0.73,-14.8,1.5707963267949,3
0.73,-14.75,0.785398163397455,3
0.78,-14.7,1.5707963267949,3
0.78,-14.65,1.5707963267949,3
0.78,-14.6,0.785398163397438,3
0.83,-14.55,1.5707963267949,3
0.83,-14.5,1.5707963267949,3
