x,y,theta,velocitiess
-1.6820524,-14.0065903,-0.526151363,3.9579801
-1.643064242,-14.02923301,-0.505392307,3.939844261
-1.604076084,-14.05187573,-0.48463325,3.921708423
-1.565087926,-14.07451844,-0.463874194,3.903572584
-1.526099769,-14.09716116,-0.443115138,3.885436746
-1.487111611,-14.11980387,-0.422356081,3.867300907
-1.448123453,-14.14244658,-0.401597025,3.849165068
-1.409135295,-14.1650893,-0.380837969,3.83102923
-1.370147137,-14.18773201,-0.360078912,3.812893391
-1.331158979,-14.21037472,-0.339319856,3.794757552
-1.292170822,-14.23301744,-0.3185608,3.776621714
-1.253182664,-14.25566015,-0.297801743,3.758485875
-1.214194506,-14.27830287,-0.277042687,3.740350037
-1.175206348,-14.30094558,-0.256283631,3.722214198
-1.13621819,-14.32358829,-0.235524574,3.704078359
-1.097230032,-14.34623101,-0.214765518,3.685942521
-1.058241875,-14.36887372,-0.194006462,3.667806682
-1.019253717,-14.39151643,-0.173247405,3.649670844
-0.980265559,-14.41415915,-0.152488349,3.631535005
-0.941277401,-14.43680186,-0.131729292,3.613399166
-0.902289243,-14.45944458,-0.110970236,3.595263328
-0.863301085,-14.48208729,-0.09021118,3.577127489
-0.824312928,-14.50473,-0.069452123,3.55899165
-0.779344384,-14.50788705,-0.047575252,3.547566964
-0.734366742,-14.51101445,-0.02569668,3.536152489
-0.689389099,-14.51414185,-0.003818108,3.524738013
-0.644411457,-14.51726925,0.018060464,3.513323537
-0.599433815,-14.52039665,0.039939036,3.501909061
-0.554456172,-14.52352405,0.061817608,3.490494586
-0.50947853,-14.52665145,0.08369618,3.47908011
-0.464500888,-14.52977885,0.105574752,3.467665634
-0.419523245,-14.53290625,0.127453324,3.456251159
-0.374545603,-14.53603365,0.149331896,3.444836683
-0.329567961,-14.53916105,0.171210468,3.433422207
-0.284590318,-14.54228845,0.19308904,3.422007731
-0.239612676,-14.54541585,0.214967612,3.410593256
-0.194635034,-14.54854325,0.236846184,3.39917878
-0.149657392,-14.55167065,0.258724756,3.387764304
-0.104679749,-14.55479805,0.280603328,3.376349829
-0.059702107,-14.55792545,0.3024819,3.364935353
-0.014724465,-14.56105285,0.324360472,3.353520877
0.030253178,-14.56418025,0.346239044,3.342106401
0.07523082,-14.56730765,0.368117616,3.330691926
0.120208462,-14.57043505,0.389996188,3.31927745
0.164303148,-14.56837258,0.412755299,3.309090693
0.205716117,-14.55054746,0.438188781,3.302632762
0.247129087,-14.53272234,0.463622263,3.296174832
0.288542056,-14.51489722,0.489055746,3.289716901
0.329955025,-14.4970721,0.514489228,3.28325897
0.371367995,-14.47924698,0.53992271,3.276801039
0.412780964,-14.46142186,0.565356193,3.270343108
0.454193934,-14.44359674,0.590789675,3.263885178
0.495606903,-14.42577162,0.616223157,3.257427247
0.537019872,-14.4079465,0.64165664,3.250969316
0.578432842,-14.39012138,0.667090122,3.244511385
0.619845811,-14.37229626,0.692523604,3.238053454
0.661258781,-14.35447114,0.717957087,3.231595524
0.70267175,-14.33664602,0.743390569,3.225137593
0.74408472,-14.3188209,0.768824051,3.218679662
0.785497689,-14.30099578,0.794257534,3.212221731
0.826910658,-14.28317066,0.819691016,3.2057638
0.868323628,-14.26534554,0.845124498,3.19930587
0.909736597,-14.24752042,0.870557981,3.192847939
0.951149567,-14.2296953,0.895991463,3.186390008
0.992562536,-14.21187018,0.921424945,3.179932077
1.033975505,-14.19404506,0.946858428,3.173474147
1.06640602,-14.16515716,0.967759503,3.175559666
1.092355467,-14.12828718,0.985390333,3.1838095
1.118304913,-14.09141721,1.003021162,3.192059334
1.144254359,-14.05454723,1.020651991,3.200309168
1.170203806,-14.01767725,1.038282821,3.208559002
1.196153252,-13.98080728,1.05591365,3.216808836
1.222102699,-13.9439373,1.07354448,3.22505867
1.248052145,-13.90706732,1.091175309,3.233308505
1.274001592,-13.87019735,1.108806139,3.241558339
1.299951038,-13.83332737,1.126436968,3.249808173
1.325900484,-13.79645739,1.144067798,3.258058007
1.351849931,-13.75958742,1.161698627,3.266307841
1.377799377,-13.72271744,1.179329457,3.274557675
1.403748824,-13.68584746,1.196960286,3.28280751
1.42969827,-13.64897749,1.214591115,3.291057344
1.455647717,-13.61210751,1.232221945,3.299307178
1.481597163,-13.57523754,1.249852774,3.307557012
1.507546609,-13.53836756,1.267483604,3.315806846
1.533496056,-13.50149758,1.285114433,3.32405668
1.559445502,-13.46462761,1.302745263,3.332306515
1.585394949,-13.42775763,1.320376092,3.340556349
1.611344395,-13.39088765,1.338006922,3.348806183
1.624178825,-13.34813577,1.349269391,3.357980326
1.634453534,-13.3042359,1.359288916,3.367334871
1.644728243,-13.26033602,1.369308442,3.376689416
1.655002953,-13.21643614,1.379327967,3.386043961
1.665277662,-13.17253626,1.389347493,3.395398506
1.675552371,-13.12863638,1.399367019,3.404753051
1.68582708,-13.08473651,1.409386544,3.414107596
1.696101789,-13.04083663,1.41940607,3.423462141
1.706376498,-12.99693675,1.429425595,3.432816686
1.716651207,-12.95303687,1.439445121,3.442171231
1.726925916,-12.90913699,1.449464647,3.451525776
1.737200626,-12.86523712,1.459484172,3.460880321
1.747475335,-12.82133724,1.469503698,3.470234866
1.757750044,-12.77743736,1.479523223,3.479589411
1.768024753,-12.73353748,1.489542749,3.488943956
1.778299462,-12.6896376,1.499562274,3.498298501
1.788574171,-12.64573773,1.5095818,3.507653046
1.79884888,-12.60183785,1.519601326,3.517007591
1.809123589,-12.55793797,1.529620851,3.526362136
1.819398298,-12.51403809,1.539640377,3.535716681
1.829673008,-12.47013821,1.549659902,3.545071226
1.839947717,-12.42623834,1.559679428,3.554425771
1.842549704,-12.38141798,1.565726636,3.565450894
1.8429502,-12.33633352,1.57063409,3.576955346
1.843350697,-12.29124906,1.575541544,3.588459799
1.843751193,-12.2461646,1.580448998,3.599964252
1.844151689,-12.20108014,1.585356451,3.611468704
1.844552185,-12.15599568,1.590263905,3.622973157
1.844952682,-12.11091122,1.595171359,3.63447761
1.845353178,-12.06582676,1.600078813,3.645982062
1.845753674,-12.0207423,1.604986266,3.657486515
1.84615417,-11.97565784,1.60989372,3.668990968
1.846554667,-11.93057338,1.614801174,3.68049542
1.846955163,-11.88548892,1.619708628,3.691999873
1.847355659,-11.84040446,1.624616081,3.703504326
1.847756155,-11.79532,1.629523535,3.715008778
1.848156651,-11.75023554,1.634430989,3.726513231
1.848557148,-11.70515108,1.639338443,3.738017684
1.848957644,-11.66006662,1.644245896,3.749522136
1.84935814,-11.61498216,1.64915335,3.761026589
1.849758636,-11.5698977,1.654060804,3.772531042
1.850159133,-11.52481324,1.658968258,3.784035494
1.850559629,-11.47972878,1.663875711,3.795539947
1.850960125,-11.43464432,1.668783165,3.8070444
1.847471403,-11.38973515,1.670599105,3.819859296
