# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-1.6022748,-13.9764548,-2.3576697,0.5198915,3.8949446,-2.21958
0.9965116,-0.7439273,-14.4691797,-1.8104978,0.5934839,3.2782494,-0.3547479
1.9930233,0.2378802,-14.4457387,-1.2983293,0.5661819,3.1685798,-0.1032428
2.9895349,1.0534895,-13.9232513,-0.7096115,0.5611712,3.1359421,0.7666823
3.9860466,1.5019551,-13.0418515,-0.2812771,0.2976211,3.3707787,1.0645771
4.9825582,1.6627248,-12.060575,-0.0707282,0.1392833,3.6720397,1.1812942
5.9790699,1.6798881,-11.0578054,0.0210378,0.0478724,3.9797264,1.2738295
6.9755815,1.6464026,-10.0500691,0.0344171,-0.0181457,4.2868397,1.0324675
7.9720932,1.6323741,-9.0477249,-0.0192302,-0.096003,4.5204785,-0.0971931
8.9686048,1.7197243,-8.0563216,-0.180681,-0.2342679,4.4990019,-2.1719376
9.9651165,2.0396828,-7.113539,-0.5101105,-0.4380725,3.9890219,-3.3818708
10.9616281,2.7266292,-6.4106067,-1.0834353,-0.6795428,3.0285555,-0.3824479
11.9581398,3.6664715,-6.2536931,-1.6699418,-0.5363976,2.8999864,0.1903423
12.9546514,4.5362983,-6.6632885,-2.3454887,-0.6047433,2.9646716,0.3354958
13.9511631,5.0208113,-7.519768,-2.8675875,-0.3784384,3.0753745,0.7021835
14.9476747,5.138489,-8.5172645,3.1315921,-0.1981292,3.2950564,1.0302461
15.9441864,5.047096,-9.5251092,2.9871406,-0.0976121,3.5931464,1.1724639
16.940698,4.8602927,-10.5022995,2.9314881,-0.0175009,3.9047982,0.8215202
17.9372097,4.646917,-11.5054392,2.9373655,0.0159335,4.1091067,-0.4499821
18.9337213,4.4596619,-12.4758688,2.9841225,0.1733171,3.9984913,-3.0263864
19.930233,4.4757583,-13.4623266,-2.8925451,0.4817475,3.1553565,-2.500577
20.9267446,5.0113439,-14.2455131,-1.8208048,2.4417164,2.2299252,1.6685432
21.9232563,5.9288658,-13.9658338,-1.1351291,0.0612827,2.880627,0.2456206
22.9197679,6.7910838,-13.4482017,-0.8328566,0.5580761,2.9643784,0.5965899
23.9162796,7.3489839,-12.6324077,-0.4017326,0.3473735,3.1585688,1.148081
24.9127912,7.6027603,-11.6735654,-0.1430918,0.1852545,3.5021007,1.3217898
25.9093029,7.6699471,-10.6791007,-0.0069394,0.0926584,3.8599309,1.3761534
26.9058145,7.6417667,-9.6822277,0.0554383,0.0409406,4.200211,1.3156098
27.9023262,7.5720136,-8.6876006,0.0803305,0.0147988,4.5015346,1.1696972
28.8988378,7.487112,-7.6937794,0.0878622,0.001565,4.7534248,0.9887707
29.8953495,7.4004745,-6.7004951,0.0845236,-0.0079882,4.9563788,0.8283982
30.8918611,7.3217038,-5.7078052,0.0724562,-0.0160699,5.1202253,0.6538754
31.8883728,7.257053,-4.7126148,0.0577185,-0.0134776,5.2459409,0.4537387
32.8848844,7.2038292,-3.7159611,0.0521713,0.0044376,5.3314358,0.1769512
33.8813961,7.1449936,-2.7189031,0.0713021,0.0371533,5.3644083,-0.2729696
34.8779077,7.0478505,-1.7253957,0.1324585,0.0898919,5.3134585,-1.0401121
35.8744194,6.8590145,-0.7499824,0.2686407,0.1984977,5.1146724,-2.1244669
36.870931,6.4794485,0.1630568,0.5545541,0.4026036,4.6824952,-2.4470339
37.8674427,5.7934516,0.8669943,0.991621,0.4349019,4.1290151,-0.3331957
38.8639543,4.8810656,1.2369897,1.3402319,0.227891,4.0478018,0.647869
39.860466,3.8988797,1.3802842,1.4943668,0.1136405,4.2042737,0.7437136
40.8569776,2.8969231,1.4080135,1.5876051,0.0878674,4.377003,0.4151356
41.8534893,1.8875507,1.344062,1.6830145,0.1017396,4.4705179,-0.5905152
42.8500009,0.9077717,1.1775867,1.8039484,0.1566397,4.3368906,-2.6465574
43.8465126,-0.0598906,0.8922927,1.8636104,-0.1293493,3.6788543,-3.841751
44.8430242,-0.8813091,0.4498333,2.8258292,2.095484,2.4243081,-1.2124448
45.8395359,-0.3447257,-0.0810632,-1.6142508,0.3486657,1.8603331,2.7897924
