# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,1.3786501,2.6425374,-1.0709584,0.5904495,3.9216941,-2.6347525
0.9928443,2.0377045,3.3539719,-0.4100195,0.6321582,3.1855748,-0.1749205
1.9856886,2.1922731,4.3251637,0.058347,0.4359114,3.1305829,-0.1307721
2.9785329,1.9053491,5.2666299,0.5551518,0.5775191,3.0888309,0.128961
3.9713773,1.168507,5.8984707,1.1590603,0.544401,3.1300084,0.6918339
4.9642216,0.2025923,6.0652736,1.5980686,0.3000958,3.3422626,1.1195793
5.9570659,-0.7846683,5.9271558,1.7906888,0.1113305,3.6597616,1.3248833
6.9499102,-1.7545571,5.6736983,1.8418845,-0.0142963,4.0030814,1.164838
7.9427545,-2.7224258,5.4373191,1.7534458,-0.1665348,4.2822502,-1.0745556
8.9355988,-3.7087769,5.3694191,1.4882075,-0.3933635,4.025411,-2.1133028
9.9284432,-4.6532835,5.6630296,1.020933,-0.5916768,3.4651944,-0.671048
10.9212875,-5.3043275,6.3898877,0.4645243,-0.5108231,3.2672741,-0.3734633
11.9141318,-5.5301768,7.3433578,0.0103718,-0.5494065,3.1517452,-0.1071787
12.9069761,-5.2505822,8.2530375,-0.6317282,-0.5684462,3.1177996,0.3977977
13.8998204,-4.4935734,8.8939215,-1.071783,-0.32808,3.242002,0.7906631
14.8926647,-3.5577388,9.2528276,-1.3134103,-0.1787519,3.475714,0.8861023
15.8855091,-2.576249,9.4334433,-1.4524453,-0.1074554,3.72023,0.9524405
16.8783534,-1.5849503,9.5034114,-1.5434446,-0.0783354,3.966278,0.9558167
17.8711977,-0.5835214,9.4939484,-1.6159877,-0.0708101,4.1987278,0.9168769
18.864042,0.4130679,9.4126604,-1.6899091,-0.0801196,4.4102094,0.8020678
19.8568863,1.3937902,9.2512912,-1.7828447,-0.1096151,4.5872218,0.5445909
20.8497306,2.3402366,8.9861432,-1.9144914,-0.1656797,4.7036148,0.1248057
21.8425749,3.2252466,8.5780783,-2.1017772,-0.222201,4.7298856,-0.1227762
22.8354193,4.0190206,7.9920557,-2.3041409,-0.1816102,4.7040432,0.2688078
23.8282636,4.7032034,7.2734366,-2.4408004,-0.0918101,4.7604402,0.6955053
24.8211079,5.3238453,6.4851148,-2.495065,-0.0142972,4.9033507,0.1422011
25.8139522,5.9383285,5.6793601,-2.4741786,0.0520964,4.9320599,-3.4996584
26.8067965,6.6064184,4.8877693,-2.4414073,-0.2258897,4.1684509,-6.4620077
27.7996408,7.1063286,4.1937274,-1.8164599,1.7789601,2.131771,0.3298392
28.7924852,7.7480543,4.7700617,-0.2537108,0.4593554,2.2802205,2.2120685
29.7853295,7.8438758,5.7842629,0.001157,0.0578916,3.0970769,1.622641
30.7781738,7.8554926,6.7977109,-0.0378097,-0.0479374,3.5796571,0.7490417
31.7710181,7.9162482,7.7951921,-0.0849886,-0.0516491,3.7817071,-1.6471042
32.7638624,8.0328277,8.780033,-0.2051435,-0.4429245,3.3212456,-2.6822634
33.7567067,8.6018541,9.5236525,-1.2549216,-1.3709122,2.3884163,0.3195049
